	Title	Price	Baths	Land size	Beds	House size	Brand New	Town	District
0	House	5400000	1	50.0	3	1600.0	0	 Matara City	  Matara
1	House	16800000	3	8.0	3	1480.0	0	 Athurugiriya	  Colombo
2	House	20000000	2	20.0	3	2800.0	0	 Kelaniya	  Gampaha
3	House	187000000	5	22.0	5	4000.0	0	 Colombo 6	  Colombo
4	House	1300000	1	6.3	2	900.0	0	 Dehiwala	  Colombo
5	House	55000000	4	11.0	4	3300.0	0	 Talawatugoda	  Colombo
6	House	45000000	4	10.0	4	4100.0	1	 Kandy City	  Kandy
7	House	16700000	3	9.0	3	1400.0	0	 Piliyandala	  Colombo
8	House	50000000	4	10.0	4	4000.0	1	 Talawatugoda	  Colombo
9	House	16000000	1	3000.0	3	2000.0	0	 Kadawatha	  Gampaha
10	House	19500000	2	10.0	4	5000.0	0	 Gampaha City	  Gampaha
11	House	11500000	1	9.85	3	1800.0	0	 Katugastota	  Kandy
12	House	26500000	3	10.5	4	3100.0	0	 Negombo	  Gampaha
13	House	19000000	2	11.4	4	1900.0	0	 Malabe	  Colombo
14	House	11000000	1	80.0	3	1100.0	0	 Jaffna City	  Jaffna
15	House	16500000	2	7.5	3	1250.0	0	 Malabe	  Colombo
16	House	6500000	1	3.0	2	950.0	0	 Rajagiriya	  Colombo
18	House	55000000	5	11.0	4	3000.0	0	 Battaramulla	  Colombo
19	House	50000000	3	20.5	4	2900.0	0	 Battaramulla	  Colombo
20	House	13500000	2	15.0	3	1400.0	0	 Moratuwa	  Colombo
21	House	24500000	2	7.42	4	2900.0	0	 Moratuwa	  Colombo
22	House	32500000	2	21.5	4	2880.0	0	 Piliyandala	  Colombo
23	House	27000000	5	11.2	9	3085.0	0	 Nugegoda	  Colombo
24	House	32500000	4	7.5	5	2042.0	0	 Dehiwala	  Colombo
25	House	33000000	3	8.0	4	3200.0	1	 Kottawa	  Colombo
26	House	28500000	3	10.2	5	2800.0	1	 Homagama	  Colombo
27	House	17000000	3	10.3	5	2600.0	0	 Minuwangoda	  Gampaha
